title,start_time,end_time,exercise_title,set_index,set_type,weight_lbs,reps,duration_seconds,date,typeOfExercise,primary_muscle_group
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Shoulder Press (Dumbbell),0,normal,10.0,10.0,,2026-07-28,weighted,shoulders
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Shoulder Press (Dumbbell),1,normal,10.0,10.0,,2026-07-28,weighted,shoulders
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Shoulder Press (Dumbbell),2,normal,15.0,4.0,,2026-07-28,weighted,shoulders
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Chest Fly (Dumbbell),0,normal,5.0,10.0,,2026-07-28,weighted,chest
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Chest Fly (Dumbbell),1,normal,5.0,10.0,,2026-07-28,weighted,chest
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Chest Fly (Dumbbell),2,normal,5.0,10.0,,2026-07-28,weighted,chest
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Lateral Raise (Dumbbell),0,normal,5.0,10.0,,2026-07-28,weighted,shoulders
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Lateral Raise (Dumbbell),1,normal,5.0,10.0,,2026-07-28,weighted,shoulders
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Lateral Raise (Dumbbell),2,normal,5.0,12.0,,2026-07-28,weighted,shoulders
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Triceps Kickback (Dumbbell),0,normal,5.0,10.0,,2026-07-28,weighted,triceps
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Triceps Kickback (Dumbbell),1,normal,5.0,10.0,,2026-07-28,weighted,triceps
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Triceps Kickback (Dumbbell),2,normal,5.0,10.0,,2026-07-28,weighted,triceps
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Stretching,0,normal,,,300.0,2026-07-28,timed,other
Home Gym - Wed,2026-07-28 18:49:00,2026-07-28 19:34:00,Dead Bug,0,normal,,10.0,,2026-07-28,bodyweight,abdominals
