"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",10,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",10,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",15,4,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Chest Fly (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Chest Fly (Dumbbell)",,"",1,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Chest Fly (Dumbbell)",,"",2,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Lateral Raise (Dumbbell)",,"",2,"normal",5,12,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Triceps Kickback (Dumbbell)",,"",0,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Triceps Kickback (Dumbbell)",,"",1,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Triceps Kickback (Dumbbell)",,"",2,"normal",5,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Stretching",,"",0,"normal",,,,300,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Dead Bug",,"",0,"normal",,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Dead Bug",,"",1,"normal",,10,,,
"Home Gym - Wed","Jul 28, 2026, 6:49 PM","Jul 28, 2026, 7:34 PM","","Dead Bug",,"",2,"normal",,8,,,
